Intercept,X1,X2,X3,Y
1.0,0.46076205,-0.45026368,-1.193852,-1.1082826
1.0,-0.40882456,0.31268984,-0.8493722,1.1075672
1.0,-0.26712978,1.544004,1.967897,0.92736304
1.0,1.8576797,0.029658556,1.5828048,0.053655863
1.0,1.0723207,0.62282753,0.037404835,-0.08262533
1.0,0.058346074,0.2275224,-0.69722116,0.8692812
1.0,-0.6666631,-0.29594627,1.7731708,0.39161634
1.0,-0.94509965,0.6804298,0.6043886,-0.62839663
1.0,-0.8756147,1.3840253,0.13136902,0.78495634
1.0,-2.1751776,0.6014782,-2.1698291,-1.9399178
1.0,0.522967,0.2286836,1.4419094,0.6061692
1.0,-1.9255196,-1.0083143,0.43456078,-1.8979845
1.0,0.43301505,0.8004718,-0.091498375,-0.33109587
1.0,-1.3810143,2.0708926,1.132065,-0.8734307
1.0,-0.2995947,-0.16418256,-0.39187133,-2.978601
1.0,-0.37396848,-0.31272447,-0.56058025,-1.4185176
1.0,-0.678322,-0.4158208,-0.03210348,-0.035770863
1.0,1.5313135,-0.82151324,1.3001555,0.46275398
1.0,-0.1593195,0.65062433,-0.9280557,-0.21193346
1.0,0.7704501,0.9207318,0.75124145,-0.3265903
1.0,0.8189812,1.1750654,1.2978415,2.2703915
1.0,0.027547467,-0.06211516,1.6320939,0.8026267
1.0,0.826771,2.2690914,1.8935779,1.3838909
1.0,1.6080761,1.5282245,1.6384534,1.6365216
1.0,0.2680172,-0.033328444,-0.3732617,-0.48133326
1.0,0.060335156,-0.33929983,-0.5144234,-0.026805162
1.0,-0.59281445,0.9319999,1.9124228,-0.4699936
1.0,0.40045318,-0.97536635,-0.36788082,-1.0907382
1.0,1.9656696,1.2207739,1.7857462,0.26134598
1.0,0.6833652,-0.22129506,0.7424984,0.8537499
1.0,2.2662616,1.7112886,0.85618985,1.7402933
1.0,-1.0544962,-0.45316917,-1.3667984,0.11926186
1.0,0.49716455,-0.3546269,0.38620555,0.5552294
1.0,0.21330294,-1.5999379,-0.33615366,0.95856965
1.0,0.5074783,-0.58568066,1.3406731,0.2826293
1.0,-1.1228232,-1.8357475,-0.552082,-1.6402341
1.0,0.23834802,-0.78990006,-0.9024197,0.57174855
1.0,-0.8097622,0.32379252,0.17993124,-0.29634982
1.0,0.7794864,1.4646468,1.2484043,1.3732713
1.0,0.73658276,-0.6565989,0.8096751,-1.2119285
1.0,1.5453051,1.1058513,2.6471906,1.3921947
1.0,-0.6204346,-0.043057203,-1.0255984,-0.76296234
1.0,-0.95022815,-0.39305577,-0.21906416,-1.1859298
1.0,-0.852497,-0.20223741,-1.1222149,-0.63152504
1.0,-1.838677,-2.0851266,-1.2148954,-2.1869366
1.0,-1.8778137,1.386358,-1.7345173,-0.36659738
1.0,-1.7405303,-1.3574445,-1.3430687,-1.1272812
1.0,0.05854121,0.013433286,0.26013294,0.41066864
1.0,1.5019112,0.11239323,1.9877559,1.2797983
1.0,0.95132357,-0.35553154,-0.2619599,0.45105243
1.0,1.0853422,1.1093584,0.41517532,1.6920359
1.0,-0.27106383,-0.09217341,-0.37307686,-1.21209
1.0,-0.59086233,0.7561209,-1.5481616,0.090064436
1.0,-0.1366375,0.38587898,-0.38438392,1.3010821
1.0,0.69953656,0.7675129,1.4862813,2.1579947
1.0,0.14720713,-2.288684,-1.4994042,-1.7410672
1.0,-1.7989428,-1.2129216,-1.1418912,-2.3420084
1.0,0.16957062,-1.1028976,0.47165614,1.9095885
1.0,-0.22970542,-0.19205129,0.20631392,-0.50887686
1.0,-0.6132078,-0.08109167,1.630823,-0.79808444
1.0,-0.7850142,-1.1289968,0.8871577,0.22178909
1.0,0.7650542,-0.67154455,-1.275737,1.1695173
1.0,-0.88854104,-1.2356919,1.3151298,0.0818885
1.0,1.0438806,1.7669022,1.6926663,2.2990665
1.0,-1.9249556,-0.66935205,-1.9312363,-2.3336878
1.0,-0.79458535,-0.78339005,0.35521168,-0.43101096
1.0,1.428926,1.7359185,0.43218216,0.32903087
1.0,1.276125,1.403416,-0.41673565,2.5044525
1.0,1.0203985,0.51695234,-1.0903918,0.63001204
1.0,-0.7244016,-0.30097735,0.023833603,0.44716758
1.0,-0.9768709,1.1429213,0.571576,1.4477366
1.0,-0.047439337,0.51128787,0.12846203,-0.8332512
1.0,-0.908567,-0.04368791,-0.6147194,-2.388564
1.0,0.3083156,1.4825368,2.2944727,2.3612616
1.0,0.34764913,-0.13560627,-0.031092398,-0.37782162
1.0,-0.21961978,-1.131488,0.16700542,-1.166135
1.0,0.7162457,1.185309,1.0291995,0.39519042
1.0,-1.6626252,-0.5379388,-1.1880308,-0.108922124
1.0,0.07161144,0.9292783,-0.8615421,-1.4873273
1.0,-2.7391284,-0.63889647,-0.7058965,-1.3648965
1.0,-1.0783066,-0.9030548,-0.26259163,0.044546306
1.0,-2.073564,-1.2840624,-1.9379964,-3.3273673
1.0,-0.8012259,-1.4827332,-0.14849448,-1.6660571
1.0,-0.8293567,0.92490995,-0.53778636,0.6908769
1.0,0.73379177,2.3931057,1.9837306,2.1025896
1.0,-0.19121118,-1.6866062,-2.1681514,-0.7261162
1.0,-1.9023677,0.44028103,-0.5673409,-0.24455506
1.0,0.34808713,-1.0417857,-0.7500247,-0.60239863
1.0,0.28591347,1.0833541,-0.76100457,-0.67325556
1.0,-1.7615411,-2.5232887,-1.3946532,-2.9224234
1.0,-0.78039944,0.08530125,-0.7776003,-2.0927746
1.0,0.40871683,0.24890918,0.29799685,0.05029142
1.0,0.5976879,-0.23175757,1.3595593,0.31560463
1.0,0.15887554,1.2767595,1.0625868,1.2634954
1.0,-1.2659032,-1.946399,1.1913979,-0.8835412
1.0,0.23908174,1.31881,-0.04379663,-0.218961
1.0,0.04647442,-0.57425374,0.3917994,0.79981476
1.0,-0.036368053,0.4763298,-1.4484992,-1.3086185
1.0,-1.2422351,0.5876062,0.18518656,0.9194317
1.0,-0.49443313,-2.0280507,-0.8326739,-0.85282046
