Intercept,X1,X2,X3,Y
1.0,-0.9750891,-0.8807193,-0.008428164,-1.8599467
1.0,-1.3508313,0.41846776,0.30474252,-0.49313423
1.0,-0.89681584,-0.8655239,0.20124932,-2.812966
1.0,-0.09004487,0.24172387,0.56753623,-0.40087205
1.0,1.1427236,-0.058937617,-0.3348544,-0.27893662
1.0,0.7649277,-0.065445565,-0.9625768,0.7719318
1.0,-1.1898267,0.8910862,-1.2749864,0.06612313
1.0,0.028253516,-0.74741495,-0.86847496,-4.1080976
1.0,-2.3589284,-0.42188892,-0.26102546,-3.5471363
1.0,-0.4904489,-0.18932213,-0.32589936,-1.8883493
1.0,0.3443287,-0.4747806,-0.60392565,-0.33826557
1.0,0.20691653,-1.4132535,-0.14837237,-1.156559
1.0,-0.5518777,-0.54234993,0.9418623,0.25036055
1.0,-0.21946032,-0.95157695,-0.65252733,-2.0248137
1.0,0.38822332,-0.47126693,0.058229666,0.42618716
1.0,1.6601826,0.3658233,1.6414242,4.1401215
1.0,-0.6816543,-1.5613626,-1.4915192,-2.8117175
1.0,0.012669639,0.4636668,1.796622,2.72376
1.0,-0.09211555,1.5124638,-0.9429659,1.0269816
1.0,0.1096214,-0.92000556,0.8773948,-0.71872234
1.0,-0.025631266,-0.19047272,0.23057736,-0.018949201
1.0,0.776721,-0.54488254,0.8248299,0.57385343
1.0,1.0654995,0.19209659,1.6076146,2.2482803
1.0,-0.929418,-0.9368512,-1.689119,-3.213255
1.0,0.66255766,-1.6237504,0.15036842,-0.83592856
1.0,0.15717584,1.2238239,1.4028977,1.4120678
1.0,0.39753324,1.6819979,-1.0458312,1.6477845
1.0,0.23709244,-0.6688544,0.059995968,-1.3672023
1.0,-0.24685198,0.5878506,-0.556785,-0.37509644
1.0,0.39000997,0.15738384,1.2296189,2.2272708
1.0,-0.19150667,0.060533673,-0.70706564,0.23633456
1.0,-0.49545085,-0.15634523,1.1036547,1.2637974
1.0,0.14291988,1.6195301,1.7309875,4.4412894
1.0,-0.9939335,0.28452975,-0.1334,-1.6170152
1.0,1.0141956,0.4618471,-1.6699587,-0.8700197
1.0,-2.2602284,1.3877348,1.0648332,-0.16358986
1.0,-0.36015445,-0.3761433,0.07209571,0.97448415
1.0,0.9629149,-3.011013,0.68857247,-1.8566016
1.0,-0.8945756,0.8102838,1.8411883,2.310425
1.0,0.32758301,-1.3906429,-1.8843222,-3.7284129
1.0,0.13389237,-0.02903253,-1.1102587,-2.2832737
1.0,0.7255772,-0.26739565,0.18462342,0.45502356
1.0,-0.5298515,-1.2412711,0.46770105,-1.1820052
1.0,-0.39647684,0.21451044,1.1580595,2.2165823
1.0,0.04412958,1.0215751,0.006003831,1.901211
1.0,0.3414152,1.5762519,-0.39407098,3.198238
1.0,-0.5546593,-0.5310879,0.7249475,-2.4474235
1.0,0.73347855,1.4145602,-0.19270626,2.4877253
1.0,1.5130937,-1.128419,1.3053966,1.3991871
1.0,-1.3700105,0.7821397,-0.4277278,-0.8536143
1.0,1.7460176,1.378623,1.5255094,6.5512753
1.0,0.4492363,-0.8301834,-0.38627002,-1.2815256
1.0,0.67443115,-0.0561434,1.3071313,3.1077785
1.0,-1.8892026,0.3500178,0.23250368,-2.3803935
1.0,1.7988585,-0.37688032,0.071363375,2.3504434
1.0,0.05243786,0.39242566,-0.38472888,1.0467427
1.0,0.40917295,0.170309,-0.3368392,0.7040874
1.0,-0.98372626,-1.3666519,0.38771638,-2.1195507
1.0,0.6136489,-0.977973,1.1824567,-0.7952215
1.0,1.1454952,0.04231545,0.6260396,1.8999875
1.0,1.0130432,0.77114546,0.3285253,1.0046978
1.0,0.17007758,0.89432377,0.0961544,2.5237763
1.0,1.2761806,1.4847438,1.6426486,4.662001
1.0,-0.7262327,-0.81158566,0.8688845,-0.027953863
1.0,-1.3245461,0.45551917,0.88854825,-0.26159143
1.0,0.64416456,-0.6223295,1.0130011,2.5792742
1.0,-0.20956922,-0.052706346,-0.8371032,-0.29647708
1.0,-0.2472001,-0.18023774,-0.99815005,-1.6646277
