Intercept,X1,X2,X3,Y
1.0,0.41993082,0.6569093,0.3818882,1.0
1.0,-0.53616935,-0.07262923,-0.19232278,1.0
1.0,1.0965914,1.1223391,2.4520512,1.0
1.0,-0.13374753,-0.66247547,0.9591279,1.0
1.0,0.5918073,0.95528793,-1.6105736,0.0
1.0,-0.7519207,1.1151085,1.1968837,1.0
1.0,-0.019530578,1.504862,-0.37330177,1.0
1.0,-1.5684237,-0.35549384,0.22500151,0.0
1.0,0.5052684,1.2313863,1.9083387,1.0
1.0,0.9516584,0.9444767,1.4458243,1.0
1.0,-1.888731,0.40128368,0.069548994,0.0
1.0,0.61261624,-1.1560225,-0.62577486,0.0
1.0,0.7077121,-1.0277753,-0.2773685,0.0
1.0,0.6961573,1.1720382,0.16320321,1.0
1.0,-1.1425549,0.37401313,-0.26387605,0.0
1.0,0.050872885,0.6385167,-0.9356049,1.0
1.0,0.3674355,1.2523459,0.6600753,1.0
1.0,0.3722631,-1.3071307,1.7337878,1.0
1.0,0.1232546,0.44376075,-1.4387252,0.0
1.0,1.6920325,1.364814,2.231898,1.0
1.0,-0.14472479,0.11273716,0.6289253,1.0
1.0,0.22802441,0.13689838,0.08835427,0.0
1.0,-0.16736759,-1.2047045,0.30148655,0.0
1.0,0.21381254,0.8177654,1.3422778,0.0
1.0,1.1622531,2.2120032,1.247539,1.0
1.0,0.01767089,0.9498849,-0.32913917,1.0
1.0,-0.5301377,-0.2911166,0.1391519,0.0
1.0,0.74499285,-0.5844829,0.7394284,0.0
1.0,-0.8371531,0.5674211,-0.38026953,1.0
1.0,0.16781709,0.24301192,1.0107816,1.0
1.0,1.2992077,2.2336462,0.04579872,1.0
1.0,-1.1483853,-0.2597475,0.8140879,1.0
1.0,0.33038762,2.3112242,0.7869616,1.0
1.0,-0.4152287,0.21064468,-0.05565819,0.0
1.0,-0.35672396,-0.77442783,-1.1212418,0.0
1.0,-1.4228622,-0.03990352,-0.8057755,0.0
1.0,-0.8625578,1.2062998,-0.6101717,1.0
1.0,0.9115756,1.2254466,-0.40922236,0.0
1.0,0.78677166,-0.10819593,0.5757467,0.0
1.0,2.1717467,-0.50559795,0.017730236,1.0
1.0,-0.6484318,-0.16877942,-1.2657775,0.0
1.0,0.49207067,1.337392,-0.34539264,0.0
1.0,-0.10956859,0.42098433,0.35331815,1.0
1.0,0.7483377,0.514483,0.06662524,1.0
1.0,-0.37363517,0.2505638,-0.71666515,0.0
1.0,-0.26342478,-0.18695122,0.06528321,1.0
1.0,-2.1267254,-0.20920324,-2.2574363,0.0
1.0,-1.1289257,-0.7509047,0.13459414,0.0
